name,title,faction,tier,unreleased,tags,classes,hp,dmg_per_hit,hits,atk_time_frames,atk_per_s,dps,hit_delay_s,range,range_constant,engage_speed,weight,caster,cast_cooldown_frames,charge_dmg,special_attack,super_action,push_immune,trait,param_1,param_2,param_3,specials
human_militia_mega,Brigade,player,2,,melee,champion,300,10,1,36,1.667,16.67,0.111,1.5,no,0.27,,,,,,,,"+{&1}% damage to {&2} troops per Brigade on the battlefield, up to {&3}%.",stat_bonus_per_unit=0.1,unit_class_buffed=ranged,max_units_giving_buff=5,
bumblebee,Bumblebee,player,2,,melee+flying,warrior+flying,400,9,1,48,1.25,11.25,0.333,1.5,no,0.31,200,,,,,,,"+{&1}% Damage to {&2} troops per Bumblebee on the battlefield, up to {&3}%.",stat_bonus_per_unit=0.1,unit_class_buffed=champion,max_units_giving_buff=10,
bursting_guy,Bursting Guy,player,1,,,grunt,75,0,1,600,0.1,0.0,0.167,1.5,yes,0.25,,,,,,,,,,,,
imp_cacodaemon,Cacodaemon,player,2,,melee+infernal,ranged+arcane,230,70,1,78,0.769,53.85,0.389,65,no,0.24,,yes,600,,,,,"Consumes a body on the ground, giving all your troops {&1}/s regeneration for {&2}s and increasing their maximum HP by {&3}% permanently.",regeneration_per_second=5,regen_time=180,perma_max_hp_increase=0.01,
cannon,Cannon,player,3,,ranged+machine,ranged,220,70,1,132,0.455,31.82,0.056,180,no,0.2,200,,,,,,,Provides +{&1}% to attacking buildings' and wall defenders' damage per cannon.,stat_bonus=0.15,,,
catapult,Catapult,player,3,,ranged+machine,ranged,150,100,1,180,0.333,33.33,0.278,180,no,0.2,200,,,,,,,"+{&1}% HP to {&2} troops per Catapult on the battlefield, up to {&3}%.",stat_bonus_per_unit=0.2,unit_class_buffed=grunt,max_units_giving_buff=5,
human_centaur,Centaur,player,2,,melee,grunt+arcane,300,8,1,36,1.667,13.33,0.167,1.5,no,0.41,,,,,,,,{&1} troops gain {&2}% chance per Centaur to poison enemies with attacks.,unit_class_buffed=flying,poison_chance_per_unit=0.1,,
chicken_rider,Chicken Rider,player,1,,melee,rider,150,14,1,36,1.667,23.33,0.167,1.5,no,0.3,,,,,,,,Provides {&1} morale per Chicken Rider on the battlefield.,modified_stat=0,modified_type=0,stat_bonus=3,
cobra_mage,Cobra Mage,player,2,yes,ranged+egypt,arcane+ranged,100,26,1,66,0.909,23.64,0.389,55,no,0.3,,,,,,,,Increases Damage of all Egyptian troops by {&1}%. Upon death gives a random non-legendary {&2} spell.,unit_stats_bonuses=0.05,,,
cow_rider,Cow Rider,player,2,,melee,rider,250,22,1,36,1.667,36.67,0.167,1.5,no,0.3,,,,,,,,,,,,
cronen_big,Cronenberg,player,2,,melee+undead,warrior+arcane,220,10,1,36,1.667,16.67,0.222,1.5,no,0.3,,,,,,,,Upon death summons Cronenberg Jrs ({&1}).,spawned_unit_amount=3,spawned_unit_lifetime=900,,
cronen_small,Cronenberg Jr.,player,1,,melee+undead,grunt,50,4,1,36,1.667,6.67,0.167,1.5,no,0.3,,,,,,,,,___struct___2012 spawned_unit_name spawned_unit_amount,,,
human_crossbowman,Crossbowman,player,1,,ranged+archer,ranged,50,17,1,81,0.741,12.59,0.111,80,no,0.3,,,,,,,,+{&1}% HP to {&2} troops per Crossbowman on the battlefield.,stat_bonus_per_unit=0.04,unit_class_buffed=warrior,max_units_giving_buff=-1,
druid_badger_human,Druid of the Badger,player,2,,ranged,arcane+warrior,100,13,1,48,1.25,16.25,0.278,60,no,0.31,200,,,,,,,"+{&1}% damage to {&2} troops per Druid on the battlefield, up to {&3}%.",stat_bonus_per_unit=0.1,unit_class_buffed=ranged,max_units_giving_buff=10,second_form=druid_badger_beast; time_in_battle_required=720
druid_badger_beast,Druid of the Badger (Transformed),player,2,,melee,arcane+warrior,230,15,1,36,1.667,25.0,0.222,1.5,no,0.31,200,,,,yes,,,"+{&1}% damage to {&2} troops per Druid on the battlefield, up to {&3}%.",stat_bonus_per_unit=0.1,unit_class_buffed=ranged,max_units_giving_buff=10,attacks_for_special_attack_required=5; original_form=druid_badger_human; slam_damage=20; slam_max_push_speed=1
druid_bear_human,Druid of the Bear,player,2,,ranged,arcane+warrior,290,30,1,42,1.429,42.86,0.5,60,no,0.31,200,,,,,,,"+{&1}% damage to {&2} troops per Druid on the battlefield, up to {&3}%.",stat_bonus_per_unit=0.2,unit_class_buffed=rider,max_units_giving_buff=5,second_form=druid_bear_beast; time_in_battle_required=720
druid_bear_beast,Druid of the Bear (Transformed),player,2,,melee,arcane+warrior,420,29,1,48,1.25,36.25,0.222,1.5,no,0.31,200,,,,yes,,,"+{&1}% damage to {&2} troops per Druid on the battlefield, up to {&3}%.",stat_bonus_per_unit=0.2,unit_class_buffed=rider,max_units_giving_buff=5,attacks_for_special_attack_required=5; original_form=druid_bear_human; slam_damage=20; slam_max_push_speed=1
druid_owlcat_human,Druid of the Owl,player,2,,ranged,arcane+warrior,100,20,1,60,1.0,20.0,0.333,80,no,0.31,200,,,,,,,"+{&1}% damage to {&2} troops per Druid on the battlefield, up to {&3}%.",stat_bonus_per_unit=0.2,unit_class_buffed=flying,max_units_giving_buff=5,second_form=druid_owlcat_beast; time_in_battle_required=720
druid_owlcat_beast,Druid of the Owl (Transformed),player,2,,melee,arcane+warrior,330,20,1,36,1.667,33.33,0.222,1.5,no,0.31,200,,,,yes,,,"+{&1}% damage to {&2} troops per Druid on the battlefield, up to {&3}%.",stat_bonus_per_unit=0.2,unit_class_buffed=flying,max_units_giving_buff=5,attacks_for_special_attack_required=5; original_form=druid_owlcat_human; slam_damage=20; slam_max_push_speed=1
gnome_boozer,Drunken Dwarf,player,1,,melee,grunt+warrior,130,9,1,48,1.25,11.25,0.111,1.5,no,0.29,,,,,yes,,,"At the start of each wave becomes drunk for {&1} seconds and throws a couple of beer mugs at enemies, intoxicating them for {&2} seconds.",drunk_status_duration_seconds=10,debuff_duration_seconds=10,,attacks_for_special_attack_required=1
gnome_polymorphist,Dwarf Polymorphist,player,2,,mage+ranged,ranged+arcane,110,24,1,66,0.909,21.82,0.25,80,no,0.27,,,,,,,,All your troops gain a {&1}% chance per gnome on the battlefield to be reborn as a temporary {&2} upon death.,chance_to_rebirth=0.15,rebirth_unit_lifetime=7200,,
gnome_shooter,Dwarf Shotcaller,player,2,,ranged,ranged,110,15,1,60,1.0,15.0,0.167,90,no,0.27,,,,,,,,+{&1}% attack radius to {&2} troops per gnome-shooter on the battlefield.,stat_bonus_per_unit=0.1,unit_class_buffed=ranged,max_units_giving_buff=-1,
cart,Explosive Cart,player,2,,melee+machine,grunt,250,200,1,60,1.0,200.0,0.111,1.5,yes,0.45,,,,,,,,,,,,explosion_damage=200
fairy,Fairy,player,2,,ranged+flying,arcane+flying,200,20,1,60,1.0,20.0,0.222,75,no,0.39,200,,,,,,,{&1} troops poison enemies with attacks if there are at least {&2} Fairies on the battlefield.,unit_class_buffed=ranged,units_required_amount=5,,
fallen_hero,Fallen Hero,player,2,,melee,warrior,220,20,1,36,1.667,33.33,0.111,1.5,no,0.27,,,,,,,,,,,,
fighting_ghost,Fighting Ghost,player,1,,melee,,5,12,1,36,1.667,20.0,0.111,1.5,no,0.25,,,,,,,,,,,,
mage_fire,Fire Mage,player,2,,ranged+mage,arcane+ranged,70,29,1,60,1.0,29.0,0.444,80,no,0.3,,,,,,,,"+{&1}% damage to {&2} troops per Fire mage on the battlefield, up to {&3}%.",stat_bonus_per_unit=0.05,unit_class_buffed=arcane,max_units_giving_buff=10,
flour_dragon,Flour Dragon,player,3,,melee+flying,flying+champion,430,20,1,36,1.667,33.33,0.222,1.5,no,0.31,200,,,,,,,+{&1}% to damage and attack speed of all units per Flour Dragon on the battlefield.,stat_bonus_per_unit=0.01,unit_class_buffed=8,max_units_giving_buff=-1,
naked_giant,Giant,player,3,,melee,champion,550,45,1,78,0.769,34.62,0.167,1.5,no,0.3,,,,,,,,{&1} troops receive +{&2}% chance to stun an enemy for {&3}s for each Giant on the battlefield.,unit_class_buffed=arcane,chance_to_stun_per_unit=0.02,stun_duration=60,
gnome,Gnome,player,1,,melee,grunt,30,4,1,18,3.333,13.33,0.167,1.5,no,0.27,,,,,,,,Provides {&1} morale per Gnome on the battlefield.,morale_per_unit=1,,,
imp_goliath,Goliath,player,3,,melee+infernal,champion,1000,17,1,72,0.833,14.17,0.389,1.5,no,0.23,,,,,,,,Provides {&1} per enemy hit.,resource_gained,,,
goose_hydra,Goose Hydra,player,3,,melee,rider+arcane,700,30,1,36,1.667,50.0,0.333,1.5,no,0.3,,,,,,,,+{&1}% HP for all units per Goose Hydra on the battlefield.,stat_bonus_per_unit=0.1,unit_class_buffed=8,max_units_giving_buff=-1,
goose_rider,Goose Rider,player,2,,rider,rider+champion,240,23,1,36,1.667,38.33,0.167,3,no,0.25,,,,2-8,,,,{&1} troops apply Weakness effect to an enemy with each attack if there are at least {&2} Goose riders on the battlefield.,unit_class_buffed=warrior,units_required_amount=5,,charge_distance_to_travel_min=50; charge_move_spd_max=1.6; charge_move_spd_min=0.1; charge_radius=80; is_charger=yes
griffin,Griffin,player,3,,melee+flying,rider+flying,430,24,1,36,1.667,40.0,0.278,1.5,no,0.31,200,,,,,,,+{&1}% to Griffins' HP per Griffin on the battlefield.,stat_bonus_per_unit=0.05,max_units_giving_buff=-1,,
harpy,Harpy,player,2,,melee,warrior+flying,200,20,1,42,1.429,28.57,0.222,1.5,no,0.3,,,,,,,,+{&1}% to Harpy attack speed per Harpy on the battlefield.,stat_bonus_per_unit=0.05,max_units_giving_buff=-1,,
mage_healer,Healer mage,player,2,,mage,arcane,70,,,,,,,1.5,no,0.2,,yes,60,,,,,"+{&1}% HP to {&2} troops per Healer mage on the battlefield, up to {&3}%.",stat_bonus_per_unit=0.1,unit_class_buffed=arcane,max_units_giving_buff=10,amount_healed=19; has_patrol_action=yes; patrol_action_cooldown_time=480
imp_flyhead,Hellhead,player,3,,melee+infernal+flying,flying+ranged,300,50,1,42,1.429,71.43,0.167,55,no,0.23,,,,,,,,All troops' attacks burn enemies for {&1} extra damage per Hellhead.,CONSTANT_EFFECT_TIME_DOT burning_damage=1.25 burning_time=60,,,
imp_dog,Hellhound,player,1,,melee+infernal,grunt,100,12,1,42,1.429,17.14,0.222,1.5,no,0.26,,,,,,,,Upon death heals {&1}% max HP of all allies.,max_hp_healed=0.1,,,
imp_houndmouth,Hellpig,player,1,,melee+infernal,rider,200,20,1,48,1.25,25.0,0.222,8,no,0.24,,,,,,,,"At the start of each wave eats one of your {&1} troops, increasing own health by {&2} and giving you {&3}.",unit_class_eaten=0,hp_inrease_per_feast=100,resource_gained_per_feast,has_opening_action=yes
human_horseman,Horseman,player,2,,rider+melee,rider,200,12,1,36,1.667,20.0,0.222,7,no,0.45,,,,3-7,,,,+{&1}% to Winery production per Horseman on the battlefield.,winery_prod_bonus_per_unit=0.2,,,charge_distance_to_travel_min=50; charge_move_spd_max=1.6; charge_move_spd_min=0.1; charge_radius=80; is_charger=yes
horus,Horus,player,3,yes,melee+egypt,champion+flying,320,40,1,42,1.429,57.14,0.222,1.5,no,0.3,,,,,,,,Upon death summons a rain that slows down enemies and increases the damage they take by {&1}%. Rain duration: {&2}s.,rain_damage_increase=0.5,rain_duration=720,rain_slow=-0.4,
witcher,Hunter,player,1,,ranged,warrior+ranged,99,4,1,90,0.667,2.67,0.056,100,no,0.3,,,,,,,,"+{&1}% Attack speed to {&2} troops per Hunter on the battlefield, up to {&3}%.",stat_bonus_per_unit=0.1,unit_class_buffed=flying,max_units_giving_buff=10,attack_slow_multi=-0.03; move_slow_multi=-0.12; slow_time=150
hydra,Hydra,player,3,,melee,rider+arcane,1100,28,1,36,1.667,46.67,0.278,1.5,no,0.3,,,,,,,,+{&1}% to damage of all units per Hydra on the battlefield.,stat_bonus_per_unit=0.05,unit_class_buffed=8,max_units_giving_buff=-1,
immortal_longbowman,Immortal Longbowman,player,2,,ranged+archer,ranged,120,8,1,60,1.0,8.0,0.389,80,no,0.3,,,,,,,,,,,,
infernal_bat,Infernal Bat,player,2,,melee+infernal+flying,flying,160,30,1,36,1.667,50.0,0.111,1.5,no,0.3,,,,,,,,,,,,
imp_giant,Infernal Brute,player,1,,melee+infernal,warrior,220,7,1,48,1.25,8.75,0.222,1.5,no,0.25,,,,,,,,Upon death gives a random non-legendary {&1} spell.,(no fields read - likely a constant or helper),,,
imp_commander,Infernal General,player,2,,melee+infernal,warrior+champion,260,15,1,42,1.429,21.43,0.222,1.5,no,0.23,,,,,,,,"All units have a chance to explode for {&1} damage, {&2}% chance per Infernal General.",explosion_damage=50,blow_up_chance_per_unit=0.1,,
infernal_hoof,Infernal Hoof,player,2,,melee+infernal,warrior,200,8,2,36,1.667,13.33,0.167,1.5,no,0.3,,,,,,,,,,,,
imp_boss,Infernal Overlord,player,4,,melee+infernal,champion,2500,150,1,84,0.714,107.14,0.278,8,no,0.23,2000,,,,yes,,,Increases HP of allied Infernals by {&1}%.,,,,attacks_for_special_attack_required=1; fireball_damage=30; has_opening_action=yes; swipe_damage=180; swipe_max_push_speed=2
genie,Jinn,player,3,yes,melee+egypt,champion+arcane,280,37,1,42,1.429,52.86,0.056,1.5,no,0.32,,,,,,,,Upon death spawns a sand tornado that damages enemies.,,,,tornado_damage_dealt_constant=3; tornado_duration=300; tornado_max_push_speed=3; tornado_move_spd=0.3; tornado_poison_damage=2; tornado_poison_duration=300; tornado_pull_radius=25
skeleton_large,Large Bones,player,2,,melee+undead,undead+champion,400,30,1,54,1.111,33.33,0.389,1.5,no,0.28,,,,,,,,+{&1}% to damage and HP of {&2} troops per Large Bones on the battlefield.,stat_bonus_per_unit=0.05,unit_class_buffed=undead,max_units_giving_buff=-1,
mage_lightning,Lightning mage,player,3,,ranged+mage,arcane+ranged,100,41,1,90,0.667,27.33,0.222,70,no,0.3,,,,,,,,+{&1}% spell damage per Lightning mage on the battlefield.,spell_damage_per_unit=0.05,,,times_lightning_chains=4
longbowman,Longbowman,player,2,,ranged+archer,ranged,120,25,1,60,1.0,25.0,0.444,110,no,0.3,,,,,,,,"+{&1}% attack speed to {&2} troops per Longbowman on the battlefield, up to {&3}%.",stat_bonus_per_unit=0.03,unit_class_buffed=ranged,max_units_giving_buff=10,
madman,Madman,player,1,,melee+mage,grunt+arcane,100,3,1,18,3.333,10.0,0.111,1.5,no,0.35,,,,,,,,+{&1}/{&2}/{&3} to morale per {&4}/{&5}/{&6} Madmen on the battlefield.,morale_milestones=<struct>+<struct>+<struct> morale units_amount,,,flees_after_attack=yes; poison_damage=3; poison_duration=90
human_militia,Militia,player,1,,melee,warrior,170,4,1,48,1.25,5.0,0.111,1.5,no,0.27,,,,,,,,+{&1}% to Militia HP per Militia on the battlefield.,stat_bonus_per_unit=0.02,max_units_giving_buff=-1,,
minotaur,Minotaur,player,2,,melee,warrior,210,10,2,48,1.25,12.5,0.111,1.5,no,0.31,,,,,yes,,,"+{&1}% evasion to {&2} troops per Minotaur on the battlefield, up to {&3}%.",stat_bonus_per_unit=0.03,unit_class_buffed=flying,max_units_giving_buff=10,attacks_for_special_attack_required=4; special_attack_damage=50; special_attack_max_push_speed=2
moth_fencer,Moth fencer,player,1,yes,melee,,195,12,1,36,1.667,20.0,0.056,1.5,no,0.3,,,,,,,,,,,,
mushroom_warrior,Mushroom Warrior,player,2,,melee,warrior+arcane,220,4,3,36,1.667,6.67,0.278,1.5,no,0.27,,,,,,,,"+{&1}% attack speed to {&2} troops per Mushroom warrior on the battlefield, up to {&3}%.",stat_bonus_per_unit=0.03,unit_class_buffed=arcane,max_units_giving_buff=10,
musketeer,Musketeer,player,2,,ranged,ranged,120,22,1,69,0.87,19.13,0.333,200,no,0.25,,,,,,,,"+{&1}% attack speed to {&2} troops per Musketeer on the battlefield, up to {&3}%.",stat_bonus_per_unit=0.1,unit_class_buffed=champion,max_units_giving_buff=10,
stickwalker_junior,"Onarak, Araknor's brother",player,0,,melee,,2500,,,,,,,1.5,no,0.15,,,,,,,,"If Onarak dies by the time Araknor arrives, the boss will become enraged, receiving bonus HP and Damage.",,,,is_wanderer=yes
paladin_mage,Paladin mage,player,2,yes,melee,warrior+arcane,270,20,1,54,1.111,22.22,0.167,1.5,no,0.3,,,,,,,,Bonuses to Spell damage also apply to Paladin's damage.,(no fields read - likely a constant or helper),,,
pangolin,Pangolin,player,3,,melee,champion,1100,25,1,36,1.667,41.67,0.278,1.5,no,0.25,,,,,,,,{&1} troops poison enemies for {&2} damage per Pangolin on the battlefield.,unit_class_buffed=rider,poison_damage_per_unit=8,poison_duration=60,second_form=pangolin_roll; time_in_battle_required=240
pangolin_roll,Pangolin (rolling form),player,3,,melee,champion,1100,25,1,36,1.667,41.67,0.278,1.5,no,0.35,,,,8-16,,,,{&1} troops poison enemies for {&2} damage per Pangolin on the battlefield.,unit_class_buffed=rider,poison_damage_per_unit=8,poison_duration=60,charge_distance_to_travel_min=50; charge_move_spd_max=2; charge_move_spd_min=0.2; charge_radius=120; is_charger=yes; original_form=pangolin; time_stayed_in_form=480
mind_slave,Patricius,player,3,,melee,arcane+champion,700,23,1,36,1.667,38.33,0.222,1.5,no,0.3,,,,,,,,Provides {&1} with each attack.,resource_gained,,,barracks_forbidden=no
human_peasant,Peasant,player,1,,melee,grunt,35,7,1,42,1.429,10.0,0.111,1.5,no,0.31,,,,,,,,+{&1}% to all production per Peasant on the battlefield.,prod_bonus_per_unit=0.01,,,
pharaoh,Pharaoh,player,3,yes,melee+egypt,champion,500,25,1,54,1.111,27.78,0.389,1.5,no,0.3,,,,,,,,Upon death spawns {&1} exploding scarabs.,,,,
pig_rider,Pig Rider,player,3,,melee,rider,450,35,1,36,1.667,58.33,0.167,1.5,no,0.3,,,,,,,,,,,,
pumpkin_warrior,Pumpkin Warrior,player,2,,melee,warrior,200,12,1,42,1.429,17.14,0.333,1.5,no,0.27,,,,,,,,"+{&1}% damage to {&2} troops per Pumpkin warrior on the battlefield, up to {&3}%.",stat_bonus_per_unit=0.1,unit_class_buffed=rider,max_units_giving_buff=10,
ram,Ram,player,3,,melee,champion,860,29,1,36,1.667,48.33,0.222,1.5,no,0.27,200,,,,,,,"+{&1}% attack speed to {&2} troops per Ram on the battlefield, up to {&3}%.",stat_bonus_per_unit=0.1,unit_class_buffed=arcane,max_units_giving_buff=10,
relict,Relict,player,3,,melee+undead,undead+champion,500,25,1,36,1.667,41.67,0.278,1.5,no,0.27,,,,,,,,"+{&1}% to damage, HP and attack speed for all your troops per Relict on the battlefield.",stat_bonus_per_unit=0.01,unit_class_buffed=8,max_units_giving_buff=-1,
grave_digger,Ruins Scout,player,1,,melee,,35,4,1,30,2.0,8.0,0.111,1.5,no,0.29,,,,,,,,,,,,grave_digging_work_provided=0.2; ignores_spotted_enemies=yes; is_grave_digger=yes; unit_aggro_distance=40
scarab,Scarab,player,0,,melee+egypt,,60,40,1,18,3.333,133.33,0.056,1.5,no,0.4,,,,,,,,Upon death explodes for {&1} damage.,explosion_damage=30,,,
scarecrow,Scarecrow,player,1,,,,150,,,,,,,1.5,yes,0,,,,,,,,,,,,barracks_forbidden=yes; explosion_damage=50
scorpion,Scorpion,player,0,,melee+egypt,,60,10,1,36,1.667,16.67,0.222,1.5,no,0.35,,,,,,,,,,,,
scorpion_rider,Scorpion rider,player,2,yes,rider+melee+egypt,rider+warrior,180,24,1,54,1.111,26.67,0.056,1.5,no,0.3,,,,4-8,,,,Upon death poisons nearby enemies for a total of {&1} damage.,poison_damage=10,poison_duration=180,,charge_distance_to_travel_min=50; charge_move_spd_max=1.3; charge_move_spd_min=0.1; charge_radius=80; is_charger=yes
slinger,Slinger,player,1,,ranged,ranged+grunt,46,12,1,90,0.667,8.0,0.381,75,no,0.27,,,,,,,,+{&1}% to HP of all units per Slinger on the battlefield.,stat_bonus_per_unit=0.02,unit_class_buffed=8,max_units_giving_buff=-1,
skeleton_small,Small bones,player,1,,melee+undead,undead+grunt,45,7,1,42,1.429,10.0,0.222,1.5,no,0.35,,,,,,,,+{&1}% to damage and HP of {&2} troops per Small Bones on the battlefield.,stat_bonus_per_unit=0.02,unit_class_buffed=undead,max_units_giving_buff=-1,
sobek,Sobek's Servant,player,1,yes,melee+egypt,arcane,70,17,1,42,1.429,24.29,0.111,1.5,no,0.34,,,,,,,,Upon death provides {&1} morale for {&2}s.,morale_provided=5,temporary_morale_duration=1800,,
sphinx,Sphinx,player,2,yes,melee+egypt,champion,170,34,1,60,1.0,34.0,0.056,1.5,no,0.3,,,,,,,,Upon death resurrects {&1} bodies as Sphinx' guardians.,bodies_resurrected_amount=2,,,
sphinx_guardian,Sphinx' guardian,player,1,yes,melee+egypt,grunt,80,16,1,48,1.25,20.0,0.167,1.5,no,0.3,,,,,,,,Upon death damages a random enemy for {&1} damage.,damage=100,,,
human_swordsman,Swordsman,player,1,,melee,warrior,80,9,1,36,1.667,15.0,0.111,1.5,no,0.31,,,,,,,,+{&1}% to Swordsmen damage per Swordsman on the battlefield.,stat_bonus_per_unit=0.03,max_units_giving_buff=-1,,
immortal_swordsman,Swordsman,player,1,,melee,warrior,80,8,1,54,1.111,8.89,0.167,1.5,no,0.31,,,,,,,,,,,,
toad,Toad,player,1,,melee,grunt+arcane,33,33,1,30,2.0,66.0,0.056,10,no,0.3,,,,,,,,,,,,
undead_apparition,Undead Apparition,player,3,,melee+undead,undead,580,45,1,36,1.667,75.0,0.278,1.5,no,0.26,,,,,,,,+{&1}% attack speed to {&2} troops per Apparition on the battlefield.,stat_bonus_per_unit=0.1,unit_class_buffed=undead,max_units_giving_buff=-1,
undead_archdemon,Undead Archdemon,player,4,,undead,undead+arcane+champion,1000,100,1,60,1.0,100.0,0.278,1.5,no,0.24,,yes,900,,,,,"All {&1} troops receive vampirism, healing themselves for {&2}% of the damage dealt per Archdemon.",unit_class_affected=7,heal_percentage=0.05,,skeletons_life_time=900; skeletons_spawned=3
undead_axe,Undead Axe,player,1,,melee+undead,undead+grunt,180,5,1,42,1.429,7.14,0.389,1.5,no,0.23,,,,,,,,All {&1} troops poison enemies around them when they die. ({&2} total poison damage per Axe on the battlefield).,CONSTANT_EFFECT_TIME_DOT unit_class_buffed=undead,poison_damage_per_unit=2,poison_duration=240,
undead_bone_warrior,Undead Bone Warrior,player,1,,melee+undead,undead+warrior,150,10,1,36,1.667,16.67,0.278,1.5,no,0.24,,,,,,,,+{&1}% evasion to {&2} troops per Bone Warrior on the battlefield.,stat_bonus_per_unit=0.02,unit_class_buffed=undead,max_units_giving_buff=-1,
undead_bull,Undead Bull,player,2,,melee+undead,undead,280,25,1,42,1.429,35.71,0.222,1.5,no,0.27,,,,,,,,Every time the Bull attacks a random {&1} unit is healed for {&2}% of the damage dealt.,unit_class_affected=7,heal_percentage=0.5,,
undead_cultist,Undead Cultist,player,2,,ranged+undead,undead+arcane,180,50,1,66,0.909,45.45,0.556,50,no,0.27,,,,,,,,+{&1}% spell damage per Cultist on the battlefield.,spell_damage_per_unit=0.1,,,
undead_dread_guard,Undead Dread Guard,player,3,,melee+undead,undead+champion,800,10,1,36,1.667,16.67,0.222,1.5,no,0.27,,,,,,,,+{&1}% damage to {&2} troops per Dread Guard on the battlefield.,stat_bonus_per_unit=0.15,unit_class_buffed=undead,max_units_giving_buff=-1,
undead_grim_reaper,Undead Grim Reaper,player,3,,melee+rider+undead,undead+rider,500,12,1,36,1.667,20.0,0.111,1.5,no,0.35,,,,2-8,,,,+{&1} HP/s regeneration to {&2} troops per Grim Reaper on the battlefield.,regeneration_per_second_per_unit=3,unit_class_buffed=undead,,charge_distance_to_travel_min=50; charge_move_spd_max=1.6; charge_move_spd_min=0.1; charge_radius=80; is_charger=yes
undead_wraith,Undead Wraith,player,1,,melee+undead,undead,150,15,1,60,1.0,15.0,0.278,1.5,no,0.27,,,,,,,,Provides {&1} with each attack.,resource_gained,,,
undead_wyvern,Undead Wyvern,player,2,,melee+undead,undead+flying,380,25,1,36,1.667,41.67,0.222,1.5,no,0.27,,,,,,,,Provides {&1} with each attack.,resource_gained,,,
veg_carrot,veg_carrot,player,1,yes,melee,,300,10,1,42,1.429,14.29,0.222,1.5,no,0.3,,,,,,,,,,,,
